week,num_orders,waste_kg
2022-01-02,95,12.87
2022-01-09,102,11.32
2022-01-16,102,7.51
2022-01-23,87,12.64
2022-01-30,99,10.38
2022-02-06,88,6.06
2022-02-13,103,7.78
2022-02-20,101,11.62
2022-02-27,87,11.46
2022-03-06,96,5.62
2022-03-13,117,13.28
2022-03-20,90,9.08
2022-03-27,109,14.85
2022-04-03,105,8.2
2022-04-10,107,6.89
2022-04-17,88,10.69
2022-04-24,110,12.83
2022-05-01,103,10.0
2022-05-08,101,12.95
2022-05-15,103,7.22
2022-05-22,105,12.39
2022-05-29,111,8.51
2022-06-05,91,11.32
2022-06-12,105,6.12
2022-06-19,96,7.05
2022-06-26,109,12.03
2022-07-03,91,11.49
2022-07-10,99,14.76
2022-07-17,107,6.88
2022-07-24,105,6.02
2022-07-31,101,13.6
2022-08-07,93,6.38
2022-08-14,99,7.97
2022-08-21,99,12.83
2022-08-28,93,5.52
2022-09-04,114,11.69
2022-09-11,125,7.35
2022-09-18,87,12.83
2022-09-25,103,14.99
2022-10-02,101,6.55
2022-10-09,104,6.78
2022-10-16,85,10.91
2022-10-23,109,8.58
2022-10-30,111,11.64
2022-11-06,99,9.1
2022-11-13,108,10.87
2022-11-20,96,12.88
2022-11-27,100,6.94
2022-12-04,108,7.69
2022-12-11,109,6.5
2022-12-18,87,5.1
2022-12-25,91,6.89
2023-01-01,91,9.14
2023-01-08,99,10.39
2023-01-15,113,15.04
2023-01-22,126,12.6
2023-01-29,107,12.46
2023-02-05,124,15.98
2023-02-12,113,14.32
2023-02-19,91,11.54
2023-02-26,120,10.07
2023-03-05,95,13.55
2023-03-12,89,9.29
2023-03-19,109,7.5
2023-03-26,101,11.88
2023-04-02,90,11.53
2023-04-09,103,14.71
2023-04-16,115,6.01
2023-04-23,89,11.46
2023-04-30,112,16.22
2023-05-07,98,5.42
2023-05-14,111,14.74
2023-05-21,109,12.7
2023-05-28,112,9.73
2023-06-04,93,9.27
2023-06-11,88,5.36
2023-06-18,103,15.21
2023-06-25,111,13.99
2023-07-02,111,8.66
2023-07-09,105,10.42
2023-07-16,112,12.89
2023-07-23,114,15.37
2023-07-30,95,5.04
2023-08-06,96,7.15
2023-08-13,118,16.05
2023-08-20,89,11.31
2023-08-27,110,8.75
2023-09-03,108,5.69
2023-09-10,98,7.23
2023-09-17,99,10.39
2023-09-24,107,11.57
2023-10-01,95,9.57
2023-10-08,95,11.95
2023-10-15,107,14.52
2023-10-22,95,5.49
2023-10-29,80,6.27
2023-11-05,88,7.74
2023-11-12,98,6.85
2023-11-19,93,7.81
2023-11-26,104,8.03
2023-12-03,92,9.38
2023-12-10,100,11.93
2023-12-17,102,11.69
2023-12-24,90,6.05
